mode,alg,ds,threads,throughput
amd,CHT,cache-fit,4,47.07
amd,INL,cache-fit,4,19.34
amd,MWAY,cache-fit,4,20.29
amd,PHT,cache-fit,4,41.67
amd,PSM,cache-fit,4,8.63
amd,RHT,cache-fit,4,91.81
amd,RHO,cache-fit,4,128.15
amd,RSM,cache-fit,4,16.38
amd,CHT,cache-exceed,4,28.98
amd,INL,cache-exceed,4,13.08
amd,MWAY,cache-exceed,4,18.06
amd,PHT,cache-exceed,4,34.33
amd,PSM,cache-exceed,4,7.2
amd,RHT,cache-exceed,4,110.55
amd,RHO,cache-exceed,4,150.96
amd,RSM,cache-exceed,4,12.43
amd-sev,CHT,cache-fit,4,40.84
amd-sev,INL,cache-fit,4,19.54
amd-sev,MWAY,cache-fit,4,20.23
amd-sev,PHT,cache-fit,4,41.33
amd-sev,PSM,cache-fit,4,8.6
amd-sev,RHT,cache-fit,4,90.41
amd-sev,RHO,cache-fit,4,118.49
amd-sev,RSM,cache-fit,4,16.35
amd-sev,CHT,cache-exceed,4,21.0
amd-sev,INL,cache-exceed,4,12.7
amd-sev,MWAY,cache-exceed,4,18.12
amd-sev,PHT,cache-exceed,4,31.0
amd-sev,PSM,cache-exceed,4,6.99
amd-sev,RHT,cache-exceed,4,98.93
amd-sev,RHO,cache-exceed,4,134.25
amd-sev,RSM,cache-exceed,4,12.1
