mode,alg,ds,memConstraint,throughput,ewb
sgx,MCJ,cache-exceed,65,0.33,6757
sgx,MCJ,cache-exceed,70,1.29,191
sgx,MCJ,cache-exceed,75,2.11,571
sgx,MCJ,cache-exceed,80,3.31,1090
sgx,MCJ,cache-exceed,85,4.41,1237
sgx,MCJ,cache-exceed,90,5.53,24416
sgx,MCJ,cache-exceed,95,6.36,40302
sgx,MCJ,cache-exceed,100,7.47,44742
sgx,MCJ,cache-exceed,105,7.93,65609
sgx,MCJ,cache-exceed,110,7.14,150690
sgx,MCJ,cache-exceed,115,6.71,205407
sgx,MCJ,cache-exceed,120,6.57,220854
sgx,MCJ,cache-exceed,125,4.89,586901
sgx,MCJ,cache-exceed,130,6.0,435013
sgx,MCJ,cache-exceed,135,6.71,366785
sgx,MCJ,cache-exceed,140,7.23,325003
sgx,MCJ,cache-exceed,145,5.15,562655
sgx,MCJ,cache-exceed,150,4.37,729597
sgx,MCJ,cache-exceed,155,4.81,645321
sgx,MCJ,cache-exceed,160,4.68,645341
sgx,MCJ,cache-exceed,165,4.92,606366
sgx,MCJ,cache-exceed,170,5.03,581567
sgx,MCJ,cache-exceed,175,5.01,579412
sgx,MCJ,cache-exceed,180,5.07,591801
sgx,MCJ,cache-exceed,185,5.24,561591
sgx,MCJ,cache-exceed,190,5.38,547110
sgx,MCJ,cache-exceed,195,5.56,517423
