mode,alg,ds,threads,throughput
sgx,CHT,cache-fit,1,17.59
sgx,CHT,cache-fit,2,29.33
sgx,CHT,cache-fit,3,35.1
sgx,CHT,cache-fit,4,36.8
sgx,CHT,cache-fit,5,35.39
sgx,CHT,cache-fit,6,36.54
sgx,CHT,cache-fit,7,36.88
sgx,CHT,cache-fit,8,36.47
sgx,CHT,cache-exceed,1,0.68
sgx,CHT,cache-exceed,2,0.8
sgx,CHT,cache-exceed,3,0.78
sgx,CHT,cache-exceed,4,0.71
sgx,CHT,cache-exceed,5,0.67
sgx,CHT,cache-exceed,6,0.65
sgx,CHT,cache-exceed,7,0.62
sgx,CHT,cache-exceed,8,0.57
sgx-affinity,CHT,cache-fit,1,17.7
sgx-affinity,CHT,cache-fit,2,29.01
sgx-affinity,CHT,cache-fit,3,34.74
sgx-affinity,CHT,cache-fit,4,37.95
sgx-affinity,CHT,cache-fit,5,35.02
sgx-affinity,CHT,cache-fit,6,36.39
sgx-affinity,CHT,cache-fit,7,36.81
sgx-affinity,CHT,cache-fit,8,36.23
sgx-affinity,CHT,cache-exceed,1,0.68
sgx-affinity,CHT,cache-exceed,2,0.8
sgx-affinity,CHT,cache-exceed,3,0.78
sgx-affinity,CHT,cache-exceed,4,0.67
sgx-affinity,CHT,cache-exceed,5,0.66
sgx-affinity,CHT,cache-exceed,6,0.65
sgx-affinity,CHT,cache-exceed,7,0.62
sgx-affinity,CHT,cache-exceed,8,0.55
sgx,INL,cache-fit,1,4.00
sgx,INL,cache-fit,2,7.26
sgx,INL,cache-fit,3,10.37
sgx,INL,cache-fit,4,14.05
sgx,INL,cache-fit,5,13.64
sgx,INL,cache-fit,6,16.82
sgx,INL,cache-fit,7,21.12
sgx,INL,cache-fit,8,22.74
sgx,INL,cache-exceed,1,0.15
sgx,INL,cache-exceed,2,0.18
sgx,INL,cache-exceed,3,0.17
sgx,INL,cache-exceed,4,0.16
sgx,INL,cache-exceed,5,0.16
sgx,INL,cache-exceed,6,0.15
sgx,INL,cache-exceed,7,0.14
sgx,INL,cache-exceed,8,0.13
sgx-affinity,INL,cache-fit,1,4.00
sgx-affinity,INL,cache-fit,2,7.24
sgx-affinity,INL,cache-fit,3,10.36
sgx-affinity,INL,cache-fit,4,13.96
sgx-affinity,INL,cache-fit,5,14.46
sgx-affinity,INL,cache-fit,6,18.94
sgx-affinity,INL,cache-fit,7,21.03
sgx-affinity,INL,cache-fit,8,22.36
sgx-affinity,INL,cache-exceed,1,0.16
sgx-affinity,INL,cache-exceed,2,0.18
sgx-affinity,INL,cache-exceed,3,0.17
sgx-affinity,INL,cache-exceed,4,0.16
sgx-affinity,INL,cache-exceed,5,0.16
sgx-affinity,INL,cache-exceed,6,0.15
sgx-affinity,INL,cache-exceed,7,0.15
sgx-affinity,INL,cache-exceed,8,0.13
sgx,MWAY,cache-fit,1,5.63
sgx,MWAY,cache-fit,2,6.01
sgx,MWAY,cache-fit,4,8.45
sgx,MWAY,cache-fit,8,9.45
sgx,MWAY,cache-exceed,1,3.85
sgx,MWAY,cache-exceed,2,3.95
sgx,MWAY,cache-exceed,4,4.88
sgx,MWAY,cache-exceed,8,4.95
sgx-affinity,MWAY,cache-fit,1,5.78
sgx-affinity,MWAY,cache-fit,2,6.74
sgx-affinity,MWAY,cache-fit,4,9.55
sgx-affinity,MWAY,cache-fit,8,9.33
sgx-affinity,MWAY,cache-exceed,1,3.72
sgx-affinity,MWAY,cache-exceed,2,3.96
sgx-affinity,MWAY,cache-exceed,4,4.91
sgx-affinity,MWAY,cache-exceed,8,4.94
sgx,PHT,cache-fit,1,8.0
sgx,PHT,cache-fit,2,14.0
sgx,PHT,cache-fit,3,16.0
sgx,PHT,cache-fit,4,16.67
sgx,PHT,cache-fit,5,16.0
sgx,PHT,cache-fit,6,16.0
sgx,PHT,cache-fit,7,16.0
sgx,PHT,cache-fit,8,16.0
sgx,PHT,cache-exceed,1,0.14
sgx,PHT,cache-exceed,2,0.18
sgx,PHT,cache-exceed,3,0.15
sgx,PHT,cache-exceed,4,0.15
sgx,PHT,cache-exceed,5,0.14
sgx,PHT,cache-exceed,6,0.14
sgx,PHT,cache-exceed,7,0.13
sgx,PHT,cache-exceed,8,0.12
sgx-affinity,PHT,cache-fit,1,8.66
sgx-affinity,PHT,cache-fit,2,14.45
sgx-affinity,PHT,cache-fit,3,16.73
sgx-affinity,PHT,cache-fit,4,17.12
sgx-affinity,PHT,cache-fit,5,15.61
sgx-affinity,PHT,cache-fit,6,16.66
sgx-affinity,PHT,cache-fit,7,17.0
sgx-affinity,PHT,cache-fit,8,17.09
sgx-affinity,PHT,cache-exceed,1,0.14
sgx-affinity,PHT,cache-exceed,2,0.18
sgx-affinity,PHT,cache-exceed,3,0.16
sgx-affinity,PHT,cache-exceed,4,0.14
sgx-affinity,PHT,cache-exceed,5,0.14
sgx-affinity,PHT,cache-exceed,6,0.14
sgx-affinity,PHT,cache-exceed,7,0.14
sgx-affinity,PHT,cache-exceed,8,0.12
sgx,PSM,cache-fit,1,2.64
sgx,PSM,cache-fit,2,3.61
sgx,PSM,cache-fit,3,4.62
sgx,PSM,cache-fit,4,5.41
sgx,PSM,cache-fit,5,5.93
sgx,PSM,cache-fit,6,6.38
sgx,PSM,cache-fit,7,6.88
sgx,PSM,cache-fit,8,7.34
sgx,PSM,cache-exceed,1,2.26
sgx,PSM,cache-exceed,2,3.11
sgx,PSM,cache-exceed,3,4.08
sgx,PSM,cache-exceed,4,7.02
sgx,PSM,cache-exceed,5,7.56
sgx,PSM,cache-exceed,6,8.03
sgx,PSM,cache-exceed,7,8.51
sgx,PSM,cache-exceed,8,8.82
sgx-affinity,PSM,cache-fit,1,3.24
sgx-affinity,PSM,cache-fit,2,5.01
sgx-affinity,PSM,cache-fit,3,6.48
sgx-affinity,PSM,cache-fit,4,7.5
sgx-affinity,PSM,cache-fit,5,8.3
sgx-affinity,PSM,cache-fit,6,8.86
sgx-affinity,PSM,cache-fit,7,9.39
sgx-affinity,PSM,cache-fit,8,9.89
sgx-affinity,PSM,cache-exceed,1,2.79
sgx-affinity,PSM,cache-exceed,2,4.47
sgx-affinity,PSM,cache-exceed,3,6.0
sgx-affinity,PSM,cache-exceed,4,7.13
sgx-affinity,PSM,cache-exceed,5,7.73
sgx-affinity,PSM,cache-exceed,6,8.37
sgx-affinity,PSM,cache-exceed,7,8.7
sgx-affinity,PSM,cache-exceed,8,9.08
sgx,RHT,cache-fit,1,12.75
sgx,RHT,cache-fit,2,18.9
sgx,RHT,cache-fit,3,21.89
sgx,RHT,cache-fit,4,22.0
sgx,RHT,cache-fit,5,11.29
sgx,RHT,cache-fit,6,9.67
sgx,RHT,cache-fit,7,7.19
sgx,RHT,cache-fit,8,6.23
sgx,RHT,cache-exceed,1,9.83
sgx,RHT,cache-exceed,2,14.54
sgx,RHT,cache-exceed,3,16.76
sgx,RHT,cache-exceed,4,16.7
sgx,RHT,cache-exceed,5,16.46
sgx,RHT,cache-exceed,6,16.33
sgx,RHT,cache-exceed,7,16.02
sgx,RHT,cache-exceed,8,14.97
sgx-affinity,RHT,cache-fit,1,12.4
