mode,alg,ds,threads,throughput
sgx,RHO,cache-fit,1,15.13
sgx,RHO,cache-fit,2,19.77
sgx,RHO,cache-fit,3,15.34
sgx,RHO,cache-fit,4,17.8
sgx,RHO,cache-fit,5,10.29
sgx,RHO,cache-fit,6,8.06
sgx,RHO,cache-fit,7,6.67
sgx,RHO,cache-fit,8,6.01
sgx,RHO,cache-exceed,1,10.51
sgx,RHO,cache-exceed,2,13.79
sgx,RHO,cache-exceed,3,15.38
sgx,RHO,cache-exceed,4,15.05
sgx,RHO,cache-exceed,5,14.91
sgx,RHO,cache-exceed,6,14.56
sgx,RHO,cache-exceed,7,14.12
sgx,RHO,cache-exceed,8,13.13
sgx,RHO-lockless,cache-fit,1,13.66
sgx,RHO-lockless,cache-fit,2,21.01
sgx,RHO-lockless,cache-fit,3,24.89
sgx,RHO-lockless,cache-fit,4,26.39
sgx,RHO-lockless,cache-fit,5,26.51
sgx,RHO-lockless,cache-fit,6,25.8
sgx,RHO-lockless,cache-fit,7,25.98
sgx,RHO-lockless,cache-fit,8,26.19
sgx,RHO-lockless,cache-exceed,1,10.59
sgx,RHO-lockless,cache-exceed,2,13.85
sgx,RHO-lockless,cache-exceed,3,15.32
sgx,RHO-lockless,cache-exceed,4,15.02
sgx,RHO-lockless,cache-exceed,5,14.59
sgx,RHO-lockless,cache-exceed,6,14.57
sgx,RHO-lockless,cache-exceed,7,14.24
sgx,RHO-lockless,cache-exceed,8,13.26

