mode,alg,ds,threads,throughput
native,PSM,cache-fit,1,13.29
native,PSM,cache-fit,2,13.3
native,PSM,cache-fit,3,13.32
native,PSM,cache-fit,4,13.28
native,PSM,cache-fit,5,13.33
native,PSM,cache-fit,6,12.02
native,PSM,cache-fit,7,10.65
native,PSM,cache-fit,8,10.59
native,PSM,cache-exceed,1,9.4
native,PSM,cache-exceed,2,9.31
native,PSM,cache-exceed,3,9.43
native,PSM,cache-exceed,4,9.42
native,PSM,cache-exceed,5,9.46
native,PSM,cache-exceed,6,9.41
native,PSM,cache-exceed,7,9.47
native,PSM,cache-exceed,8,9.45
sgx,PSM,cache-fit,1,2.64
sgx,PSM,cache-fit,2,3.61
sgx,PSM,cache-fit,3,4.62
sgx,PSM,cache-fit,4,5.41
sgx,PSM,cache-fit,5,5.93
sgx,PSM,cache-fit,6,6.38
sgx,PSM,cache-fit,7,6.88
sgx,PSM,cache-fit,8,7.34
sgx,PSM,cache-exceed,1,2.26
sgx,PSM,cache-exceed,2,3.11
sgx,PSM,cache-exceed,3,4.08
sgx,PSM,cache-exceed,4,7.02
sgx,PSM,cache-exceed,5,7.56
sgx,PSM,cache-exceed,6,8.03
sgx,PSM,cache-exceed,7,8.51
sgx,PSM,cache-exceed,8,8.82
sgx-affinity,PSM,cache-fit,1,3.24
sgx-affinity,PSM,cache-fit,2,5.01
sgx-affinity,PSM,cache-fit,3,6.48
sgx-affinity,PSM,cache-fit,4,7.5
sgx-affinity,PSM,cache-fit,5,8.3
sgx-affinity,PSM,cache-fit,6,8.86
sgx-affinity,PSM,cache-fit,7,9.39
sgx-affinity,PSM,cache-fit,8,9.89
sgx-affinity,PSM,cache-exceed,1,2.79
sgx-affinity,PSM,cache-exceed,2,4.47
sgx-affinity,PSM,cache-exceed,3,6.0
sgx-affinity,PSM,cache-exceed,4,7.13
sgx-affinity,PSM,cache-exceed,5,7.73
sgx-affinity,PSM,cache-exceed,6,8.37
sgx-affinity,PSM,cache-exceed,7,8.7
sgx-affinity,PSM,cache-exceed,8,9.08
native,RHT,cache-fit,1,76.6
native,RHT,cache-fit,2,123.14
native,RHT,cache-fit,3,146.97
native,RHT,cache-fit,4,163.14
native,RHT,cache-fit,5,168.68
native,RHT,cache-fit,6,178.27
native,RHT,cache-fit,7,180.35
native,RHT,cache-fit,8,180.3
native,RHT,cache-exceed,1,91.38
native,RHT,cache-exceed,2,151.85
native,RHT,cache-exceed,3,181.23
native,RHT,cache-exceed,4,187.21
native,RHT,cache-exceed,5,190.69
native,RHT,cache-exceed,6,190.51
native,RHT,cache-exceed,7,195.59
native,RHT,cache-exceed,8,192.64
sgx,RHT,cache-fit,1,12.75
sgx,RHT,cache-fit,2,18.9
sgx,RHT,cache-fit,3,21.89
sgx,RHT,cache-fit,4,22.0
sgx,RHT,cache-fit,5,11.29
sgx,RHT,cache-fit,6,9.67
sgx,RHT,cache-fit,7,7.19
sgx,RHT,cache-fit,8,6.23
sgx,RHT,cache-exceed,1,9.83
sgx,RHT,cache-exceed,2,14.54
sgx,RHT,cache-exceed,3,16.76
sgx,RHT,cache-exceed,4,16.7
sgx,RHT,cache-exceed,5,16.46
sgx,RHT,cache-exceed,6,16.33
sgx,RHT,cache-exceed,7,16.02
sgx,RHT,cache-exceed,8,14.97
sgx-affinity,RHT,cache-fit,1,12.4
sgx-affinity,RHT,cache-fit,2,18.97
sgx-affinity,RHT,cache-fit,3,22.41
sgx-affinity,RHT,cache-fit,4,20.96
sgx-affinity,RHT,cache-fit,5,12.3
sgx-affinity,RHT,cache-fit,6,9.56
sgx-affinity,RHT,cache-fit,7,7.0
sgx-affinity,RHT,cache-fit,8,5.56
sgx-affinity,RHT,cache-exceed,1,9.78
sgx-affinity,RHT,cache-exceed,2,14.58
sgx-affinity,RHT,cache-exceed,3,16.72
sgx-affinity,RHT,cache-exceed,4,16.69
sgx-affinity,RHT,cache-exceed,5,16.34
sgx-affinity,RHT,cache-exceed,6,16.21
sgx-affinity,RHT,cache-exceed,7,15.99
sgx-affinity,RHT,cache-exceed,8,15.78
native,RHO,cache-fit,1,113.16
native,RHO,cache-fit,2,184.66
native,RHO,cache-fit,3,206.98
native,RHO,cache-fit,4,216.41
native,RHO,cache-fit,5,212.19
native,RHO,cache-fit,6,213.82
native,RHO,cache-fit,7,220.47
native,RHO,cache-fit,8,214.83
native,RHO,cache-exceed,1,127.98
native,RHO,cache-exceed,2,199.29
native,RHO,cache-exceed,3,226.85
native,RHO,cache-exceed,4,229.95
native,RHO,cache-exceed,5,228.68
native,RHO,cache-exceed,6,231.54
native,RHO,cache-exceed,7,228.12
native,RHO,cache-exceed,8,222.21
sgx,RHO,cache-fit,1,15.11
sgx,RHO,cache-fit,2,21.94
sgx,RHO,cache-fit,3,15.52
sgx,RHO,cache-fit,4,13.82
sgx,RHO,cache-fit,5,12.19
sgx,RHO,cache-fit,6,7.77
sgx,RHO,cache-fit,7,7.1
sgx,RHO,cache-fit,8,6.26
sgx,RHO,cache-exceed,1,11.54
sgx,RHO,cache-exceed,2,16.73
sgx,RHO,cache-exceed,3,19.05
sgx,RHO,cache-exceed,4,18.78
sgx,RHO,cache-exceed,5,18.32
sgx,RHO,cache-exceed,6,17.97
sgx,RHO,cache-exceed,7,17.58
sgx,RHO,cache-exceed,8,16.39
sgx-affinity,RHO,cache-fit,1,15.1
sgx-affinity,RHO,cache-fit,2,22.02
sgx-affinity,RHO,cache-fit,3,17.5
sgx-affinity,RHO,cache-fit,4,12.31
sgx-affinity,RHO,cache-fit,5,10.73
sgx-affinity,RHO,cache-fit,6,7.84
sgx-affinity,RHO,cache-fit,7,6.25
sgx-affinity,RHO,cache-fit,8,5.04
sgx-affinity,RHO,cache-exceed,1,11.53
sgx-affinity,RHO,cache-exceed,2,16.86
sgx-affinity,RHO,cache-exceed,3,19.01
sgx-affinity,RHO,cache-exceed,4,18.8
sgx-affinity,RHO,cache-exceed,5,18.2
sgx-affinity,RHO,cache-exceed,6,17.92
sgx-affinity,RHO,cache-exceed,7,17.58
sgx-affinity,RHO,cache-exceed,8,17.21
native,RSM,cache-fit,1,23.55
native,RSM,cache-fit,2,43.95
native,RSM,cache-fit,3,55.85
native,RSM,cache-fit,4,61.76
native,RSM,cache-fit,5,68.79
native,RSM,cache-fit,6,73.31
native,RSM,cache-fit,7,77.81
native,RSM,cache-fit,8,79.12
native,RSM,cache-exceed,1,18.36
native,RSM,cache-exceed,2,33.81
native,RSM,cache-exceed,3,43.83
native,RSM,cache-exceed,4,50.99
native,RSM,cache-exceed,5,55.09
native,RSM,cache-exceed,6,58.21
native,RSM,cache-exceed,7,61.38
native,RSM,cache-exceed,8,64.62
sgx,RSM,cache-fit,1,8.8
sgx,RSM,cache-fit,2,14.19
sgx,RSM,cache-fit,3,17.21
sgx,RSM,cache-fit,4,17.34
sgx,RSM,cache-fit,5,14.94
sgx,RSM,cache-fit,6,12.46
sgx,RSM,cache-fit,7,11.0
sgx,RSM,cache-fit,8,7.88
sgx,RSM,cache-exceed,1,6.22
sgx,RSM,cache-exceed,2,10.16
sgx,RSM,cache-exceed,3,12.3
sgx,RSM,cache-exceed,4,12.94
sgx,RSM,cache-exceed,5,13.17
sgx,RSM,cache-exceed,6,13.31
sgx,RSM,cache-exceed,7,13.44
sgx,RSM,cache-exceed,8,12.83
sgx-affinity,RSM,cache-fit,1,8.62
sgx-affinity,RSM,cache-fit,2,14.15
sgx-affinity,RSM,cache-fit,3,17.57
sgx-affinity,RSM,cache-fit,4,17.95
sgx-affinity,RSM,cache-fit,5,15.55
sgx-affinity,RSM,cache-fit,6,11.96
sgx-affinity,RSM,cache-fit,7,9.9
sgx-affinity,RSM,cache-fit,8,7.15
sgx-affinity,RSM,cache-exceed,1,6.14
sgx-affinity,RSM,cache-exceed,2,10.16
sgx-affinity,RSM,cache-exceed,3,12.28
sgx-affinity,RSM,cache-exceed,4,12.98
sgx-affinity,RSM,cache-exceed,5,13.11
sgx-affinity,RSM,cache-exceed,6,13.29
sgx-affinity,RSM,cache-exceed,7,13.41
sgx-affinity,RSM,cache-exceed,8,13.42
native,CHT,cache-fit,1,66.04
native,CHT,cache-fit,2,124.31
native,CHT,cache-fit,3,166.73
native,CHT,cache-fit,4,158.35
native,CHT,cache-fit,5,164.53
native,CHT,cache-fit,6,187.12
native,CHT,cache-fit,7,202.15
native,CHT,cache-fit,8,213.85
native,CHT,cache-exceed,1,37.54
native,CHT,cache-exceed,2,68.35
native,CHT,cache-exceed,3,88.67
native,CHT,cache-exceed,4,96.53
native,CHT,cache-exceed,5,93.98
native,CHT,cache-exceed,6,96.02
native,CHT,cache-exceed,7,100.83
native,CHT,cache-exceed,8,100.08
sgx,CHT,cache-fit,1,17.59
sgx,CHT,cache-fit,2,29.33
sgx,CHT,cache-fit,3,35.1
sgx,CHT,cache-fit,4,36.8
sgx,CHT,cache-fit,5,35.39
sgx,CHT,cache-fit,6,36.54
sgx,CHT,cache-fit,7,36.88
sgx,CHT,cache-fit,8,36.47
sgx,CHT,cache-exceed,1,0.68
sgx,CHT,cache-exceed,2,0.8
sgx,CHT,cache-exceed,3,0.78
sgx,CHT,cache-exceed,4,0.71
sgx,CHT,cache-exceed,5,0.67
sgx,CHT,cache-exceed,6,0.65
sgx,CHT,cache-exceed,7,0.62
sgx,CHT,cache-exceed,8,0.57
sgx-affinity,CHT,cache-fit,1,17.7
sgx-affinity,CHT,cache-fit,2,29.01
sgx-affinity,CHT,cache-fit,3,34.74
sgx-affinity,CHT,cache-fit,4,37.95
sgx-affinity,CHT,cache-fit,5,35.02
sgx-affinity,CHT,cache-fit,6,36.39
sgx-affinity,CHT,cache-fit,7,36.81
sgx-affinity,CHT,cache-fit,8,36.23
sgx-affinity,CHT,cache-exceed,1,0.68
sgx-affinity,CHT,cache-exceed,2,0.8
sgx-affinity,CHT,cache-exceed,3,0.78
sgx-affinity,CHT,cache-exceed,4,0.67
sgx-affinity,CHT,cache-exceed,5,0.66
sgx-affinity,CHT,cache-exceed,6,0.65
sgx-affinity,CHT,cache-exceed,7,0.62
sgx-affinity,CHT,cache-exceed,8,0.55
native,PHT,cache-fit,1,33.67
native,PHT,cache-fit,2,60.33
native,PHT,cache-fit,3,77.67
native,PHT,cache-fit,4,75.67
native,PHT,cache-fit,5,83.0
native,PHT,cache-fit,6,84.67
native,PHT,cache-fit,7,85.67
native,PHT,cache-fit,8,86.33
native,PHT,cache-exceed,1,25.0
native,PHT,cache-exceed,2,43.0
native,PHT,cache-exceed,3,57.0
native,PHT,cache-exceed,4,62.67
native,PHT,cache-exceed,5,65.0
native,PHT,cache-exceed,6,69.0
native,PHT,cache-exceed,7,71.67
native,PHT,cache-exceed,8,73.0
sgx,PHT,cache-fit,1,8.0
sgx,PHT,cache-fit,2,14.0
sgx,PHT,cache-fit,3,16.0
sgx,PHT,cache-fit,4,16.67
sgx,PHT,cache-fit,5,16.0
sgx,PHT,cache-fit,6,16.0
sgx,PHT,cache-fit,7,16.0
sgx,PHT,cache-fit,8,16.0
sgx,PHT,cache-exceed,1,0.14
sgx,PHT,cache-exceed,2,0.18
sgx,PHT,cache-exceed,3,0.15
sgx,PHT,cache-exceed,4,0.15
sgx,PHT,cache-exceed,5,0.14
sgx,PHT,cache-exceed,6,0.14
sgx,PHT,cache-exceed,7,0.13
sgx,PHT,cache-exceed,8,0.12
sgx-affinity,PHT,cache-fit,1,8.66
