mode,alg,dsSize,throughput
native,CHT,5,177.22
native,CHT,10,167.1
native,CHT,20,160.45
native,CHT,40,124.63
native,CHT,80,82.87
native,CHT,160,72.72
native,CHT,320,65.25
native,PHT,5,291.66
native,PHT,10,212.47
native,PHT,20,126.37
native,PHT,40,58.28
native,PHT,80,58.04
native,PHT,160,49.65
native,PHT,320,49.07
native,RHO,5,62.53
native,RHO,10,98.51
native,RHO,20,128.01
native,RHO,40,146.88
native,RHO,80,146.39
native,RHO,160,158.3
native,RHO,320,154.82
sgx,CHT,5,39.1
sgx,CHT,10,47.77
sgx,CHT,20,45.72
sgx,CHT,40,29.48
sgx,CHT,80,19.73
sgx,CHT,160,17.54
sgx,CHT,320,14.07
sgx,PHT,5,68.06
sgx,PHT,10,71.08
sgx,PHT,20,52.95
sgx,PHT,40,16.94
sgx,PHT,80,13.22
sgx,PHT,160,11.43
sgx,PHT,320,0.82
sgx,RHO,5,2.05
sgx,RHO,10,3.99
sgx,RHO,20,7.33
sgx,RHO,40,12.03
sgx,RHO,80,16.69
sgx,RHO,160,12.89
sgx,RHO,320,12.59
