mode,alg,ds,threads,phase,L2Miss[k],L3Miss[k],L2HitRate,L3HitRate,IR[M],IPC,EWB[MB]
sgx,CHT,cache-fit,4,Partition,177,10,0.59,0.89,55,0.07,24.62
sgx,CHT,cache-fit,4,Join,31,15,0.23,0.44,3,0.0,0.0
sgx,CHT,cache-exceed,4,Partition,2296,279,0.56,0.81,596,0.1,222.63
sgx,CHT,cache-exceed,4,Join,674096,63670,0.53,0.82,185244,0.12,25790.18
sgx,PHT,cache-fit,4,Build,40,10,0.23,0.75,4,0.0,27.92
sgx,PHT,cache-fit,4,Probe,113,41,0.35,0.61,13,0.01,0.0
sgx,PHT,cache-exceed,4,Build,584642,69772,0.51,0.79,180787,0.13,27387.82
sgx,PHT,cache-exceed,4,Probe,2321834,280160,0.52,0.79,748240,0.12,108512.8
sgx,PSM,cache-fit,4,Sort,198,20,0.36,0.88,22,0.0,4.46
sgx,PSM,cache-fit,4,Merge,8,1,0.29,0.89,3,0.05,0.0
sgx,PSM,cache-exceed,4,Sort,1827,148,0.31,0.91,173,0.0,4.63
sgx,PSM,cache-exceed,4,Merge,19,3,0.28,0.84,2,0.0,0.0
sgx,RHT,cache-fit,4,Partition,1368,82,0.6,0.88,364,0.1,56.21
sgx,RHT,cache-fit,4,Join,596,5,0.62,0.98,80,0.08,2.53
sgx,RHT,cache-exceed,4,Partition,19164,1692,0.57,0.85,5785,0.1,1002.33
sgx,RHT,cache-exceed,4,Join,1461,100,0.64,0.89,413,0.05,87.09
sgx,RHO,cache-fit,4,Partition,1228,75,0.6,0.88,347,0.09,56.21
sgx,RHO,cache-fit,4,Join,1546,4,0.67,0.99,213,0.21,0.0
sgx,RHO,cache-exceed,4,Partition,18927,1627,0.58,0.85,5734,0.1,1002.35
sgx,RHO,cache-exceed,4,Join,118,4,0.31,0.95,9,0.0,1.04
sgx,RSM,cache-fit,4,Partition,1268,74,0.61,0.88,353,0.09,56.19
sgx,RSM,cache-fit,4,Join,56,1,0.33,0.96,5,0.0,0.0
sgx,RSM,cache-exceed,4,Partition,19536,1605,0.57,0.86,5763,0.1,1002.36
sgx,RSM,cache-exceed,4,Join,332,18,0.26,0.94,27,0.0,0.85
sgx,INL,cache-fit,4,Join,206,39,0.45,0.8,26.41,0.0048,70.70
sgx,INL,cache-exceed,4,Join,2575549,384643,0.50,0.75,717565.73,0.1256,379789.39
