mode,alg,ds,phase,cycles
sgx,CHT,cache-fit,Total,334988238
sgx,CHT,cache-fit,Partition,69264610.66666667
sgx,CHT,cache-fit,Join,265661055
sgx,INL,cache-fit,Join,518841463.333333
sgx,MWAY,cache-fit,Total,1127608881.66667
sgx,MWAY,cache-fit,Partition,623954781.666667
sgx,MWAY,cache-fit,Join,503654100
sgx,PHT,cache-fit,Total,704011180
sgx,PHT,cache-fit,Build,235473989.66666666
sgx,PHT,cache-fit,Probe,468537190.3333333
sgx,PSM,cache-fit,Total,957628254.3333334
sgx,PSM,cache-fit,Partition,942596561.6666666
sgx,PSM,cache-fit,Join,15006865.666666666
sgx,RHT,cache-fit,Total,752534146.3333334
sgx,RHT,cache-fit,Partition,530739711
sgx,RHT,cache-fit,Join,221777855.66666666
sgx,RHO,cache-fit,Total,820145655.6666666
sgx,RHO,cache-fit,Partition,551964160.6666666
sgx,RHO,cache-fit,Join,268166221.66666666
sgx,RSM,cache-fit,Total,743785233.3333334
sgx,RSM,cache-fit,Partition,578698059.3333334
sgx,RSM,cache-fit,Join,165074924
sgx,CHT,cache-exceed,Total,209945646539.66666
sgx,CHT,cache-exceed,Partition,674083603
sgx,CHT,cache-exceed,Join,209271313164.66666
sgx,INL,cache-exceed,Join,776357159930
sgx,MWAY,cache-exceed,Total,21003294604.6667
sgx,MWAY,cache-exceed,Partition,10579625805.3333
sgx,MWAY,cache-exceed,Join,10423668799.3333
sgx,PHT,cache-exceed,Total,998947502834.6666
sgx,PHT,cache-exceed,Build,197179583315.33334
sgx,PHT,cache-exceed,Probe,801767919519.3334
sgx,PSM,cache-exceed,Total,9472582466.333334
sgx,PSM,cache-exceed,Partition,9331637459
sgx,PSM,cache-exceed,Join,140894916
sgx,RHT,cache-exceed,Total,8475260384.333333
sgx,RHT,cache-exceed,Partition,7443024965.666667
sgx,RHT,cache-exceed,Join,1032218115.6666666
sgx,RHO,cache-exceed,Total,7961972057.333333
sgx,RHO,cache-exceed,Partition,7498207901.333333
sgx,RHO,cache-exceed,Join,463743388.3333333
sgx,RSM,cache-exceed,Total,10152104800
sgx,RSM,cache-exceed,Partition,7466140735.666667
sgx,RSM,cache-exceed,Join,2685944817
