mode,alg,ds,passes,bits,throughput
sgx,RHO,cache-fit,1,2,12.93
sgx,RHO,cache-exceed,1,2,0.1
sgx,RHO,cache-fit,1,3,28.86
sgx,RHO,cache-exceed,1,3,6.33
sgx,RHO,cache-fit,1,4,37.78
sgx,RHO,cache-exceed,1,4,7.13
sgx,RHO,cache-fit,1,5,38.7
sgx,RHO,cache-exceed,1,5,8.78
sgx,RHO,cache-fit,1,6,38.53
sgx,RHO,cache-exceed,1,6,13.55
sgx,RHO,cache-fit,1,7,37.53
sgx,RHO,cache-exceed,1,7,20.55
sgx,RHO,cache-fit,1,8,35.59
sgx,RHO,cache-exceed,1,8,19.6
sgx,RHO,cache-fit,1,9,33.2
sgx,RHO,cache-exceed,1,9,18.59
sgx,RHO,cache-fit,1,10,30.97
sgx,RHO,cache-exceed,1,10,18.16
sgx,RHO,cache-fit,1,11,30.26
sgx,RHO,cache-exceed,1,11,17.76
sgx,RHO,cache-fit,1,12,28.39
sgx,RHO,cache-exceed,1,12,16.54
sgx,RHO,cache-fit,1,13,25.56
sgx,RHO,cache-exceed,1,13,11.57
sgx,RHO,cache-fit,1,14,13.61
sgx,RHO,cache-exceed,1,14,0.17
sgx,RHO,cache-fit,2,2,17.66
sgx,RHO,cache-exceed,2,2,6.76
sgx,RHO,cache-fit,2,3,29.6
sgx,RHO,cache-exceed,2,3,7.09
sgx,RHO,cache-fit,2,4,31.99
sgx,RHO,cache-exceed,2,4,8.08
sgx,RHO,cache-fit,2,5,33.74
sgx,RHO,cache-exceed,2,5,9.74
sgx,RHO,cache-fit,2,6,36.42
sgx,RHO,cache-exceed,2,6,13.92
sgx,RHO,cache-fit,2,7,36.61
sgx,RHO,cache-exceed,2,7,14.91
sgx,RHO,cache-fit,2,8,35.54
sgx,RHO,cache-exceed,2,8,19.84
sgx,RHO,cache-fit,2,9,36.16
sgx,RHO,cache-exceed,2,9,20.56
sgx,RHO,cache-fit,2,10,36.23
sgx,RHO,cache-exceed,2,10,20.64
sgx,RHO,cache-fit,2,11,35.46
sgx,RHO,cache-exceed,2,11,20.65
sgx,RHO,cache-fit,2,12,36.05
sgx,RHO,cache-exceed,2,12,21.9
sgx,RHO,cache-fit,2,13,25.77
sgx,RHO,cache-exceed,2,13,21.73
sgx,RHO,cache-fit,2,14,16.89
sgx,RHO,cache-exceed,2,14,21.21
