mode,alg,threads,sizeR,sizeS,throughput,ewb
sgx,CHT,7,8.0,0.2,27.7,1131.9
sgx,CHT,7,16.0,0.2,23.99,1148.22
sgx,CHT,7,24.0,0.2,22.41,1165.01
sgx,CHT,7,32.0,0.2,20.56,1181.04
sgx,CHT,7,40.0,0.2,20.07,1198.22
sgx,CHT,7,48.0,0.2,17.55,1230.62
sgx,CHT,7,56.0,0.2,12.84,1286.16
sgx,CHT,7,64.0,0.2,11.36,1323.65
sgx,CHT,7,72.0,0.2,10.17,1367.6
sgx,CHT,7,80.0,0.2,9.43,1406.55
sgx,CHT,7,88.0,0.2,9.2,1446.61
sgx,CHT,7,96.0,0.2,8.91,1486.72
sgx,CHT,7,104.0,0.2,8.84,1528.36
sgx,CHT,7,112.0,0.2,8.78,1567.75
sgx,CHT,7,120.0,0.2,8.6,1606.15
sgx,CHT,7,128.0,0.2,8.58,1645.35
sgx,PHT,4,8.0,0.2,14.81,1127.34
sgx,PHT,4,16.0,0.2,9.77,1139.36
sgx,PHT,4,24.0,0.2,9.45,1163.45
sgx,PHT,4,32.0,0.2,9.24,1163.42
sgx,PHT,4,40.0,0.2,1.35,1952.02
sgx,PHT,4,48.0,0.2,1.18,2199.43
sgx,PHT,4,56.0,0.2,1.27,2299.1
sgx,PHT,4,64.0,0.2,1.18,2524.37
sgx,PHT,4,72.0,0.2,0.16,20321.44
sgx,PHT,4,80.0,0.2,0.17,22352.07
sgx,PHT,4,88.0,0.2,0.16,24628.61
sgx,PHT,4,96.0,0.2,0.16,27149.47
sgx,PHT,4,104.0,0.2,0.16,29029.92
sgx,PHT,4,112.0,0.2,0.15,31098.33
sgx,PHT,4,120.0,0.2,0.14,33323.78
sgx,PHT,4,128.0,0.2,0.14,35746.27
sgx,RHO,2,8.0,0.2,12.77,1125.68
sgx,RHO,2,16.0,0.2,16.45,1133.75
sgx,RHO,2,24.0,0.2,16.9,1141.8
sgx,RHO,2,32.0,0.2,18.96,1149.67
sgx,RHO,2,40.0,0.2,17.91,1157.8
sgx,RHO,2,48.0,0.2,18.66,1165.8
sgx,RHO,2,56.0,0.2,18.82,1173.81
sgx,RHO,2,64.0,0.2,18.86,1181.74
sgx,RHO,2,72.0,0.2,17.92,1189.84
sgx,RHO,2,80.0,0.2,18.11,1197.84
sgx,RHO,2,88.0,0.2,18.66,1205.94
