mode,alg,threads,sizeR,sizeS,throughput,ewb
sgx,CHT,4,8.0,0.2,18.58,1131.78
sgx,CHT,4,16.0,0.2,18.41,1148.1
sgx,CHT,4,24.0,0.2,17.36,1164.69
sgx,CHT,4,32.0,0.2,17.38,1180.74
sgx,CHT,4,40.0,0.2,17.13,1197.75
sgx,CHT,4,48.0,0.2,14.75,1229.86
sgx,CHT,4,56.0,0.2,11.92,1286.25
sgx,CHT,4,64.0,0.2,11.19,1323.46
sgx,CHT,4,72.0,0.2,10.2,1367.12
sgx,CHT,4,80.0,0.2,9.74,1405.94
sgx,CHT,4,88.0,0.2,9.21,1445.32
sgx,CHT,4,96.0,0.2,9.18,1485.42
sgx,CHT,4,104.0,0.2,9.13,1526.42
sgx,CHT,4,112.0,0.2,8.93,1565.63
sgx,CHT,4,120.0,0.2,8.92,1603.84
sgx,CHT,4,128.0,0.2,8.76,1642.57
sgx,PHT,4,8.0,0.2,14.12,1127.43
sgx,PHT,4,16.0,0.2,10.27,1139.47
sgx,PHT,4,24.0,0.2,9.47,1163.48
sgx,PHT,4,32.0,0.2,9.19,1163.39
sgx,PHT,4,40.0,0.2,1.34,1952.89
sgx,PHT,4,48.0,0.2,1.21,2201.67
sgx,PHT,4,56.0,0.2,1.55,2298.11
sgx,PHT,4,64.0,0.2,1.61,2524.21
sgx,PHT,4,72.0,0.2,0.17,20323.39
sgx,PHT,4,80.0,0.2,0.17,22344.22
sgx,PHT,4,88.0,0.2,0.17,24625.04
sgx,PHT,4,96.0,0.2,0.16,27152.47
sgx,PHT,4,104.0,0.2,0.16,29027.85
sgx,PHT,4,112.0,0.2,0.16,31102.36
sgx,PHT,4,120.0,0.2,0.16,33325.02
sgx,PHT,4,128.0,0.2,0.16,35746.23
sgx,RHO,4,8.0,0.2,1.84,1125.79
sgx,RHO,4,16.0,0.2,4.21,1133.85
sgx,RHO,4,24.0,0.2,7.8,1141.8
sgx,RHO,4,32.0,0.2,8.88,1149.81
sgx,RHO,4,40.0,0.2,13.72,1157.84
sgx,RHO,4,48.0,0.2,14.86,1165.94
sgx,RHO,4,56.0,0.2,16.8,1173.82
sgx,RHO,4,64.0,0.2,20.73,1181.83
sgx,RHO,4,72.0,0.2,25.07,1189.89
sgx,RHO,4,80.0,0.2,25.69,1197.82
sgx,RHO,4,88.0,0.2,25.84,1206.0
sgx,RHO,4,96.0,0.2,24.23,1233.09
sgx,RHO,4,104.0,0.2,23.9,1252.38
sgx,RHO,4,112.0,0.2,22.29,1273.89
sgx,RHO,4,120.0,0.2,21.58,1302.83
sgx,RHO,4,128.0,0.2,20.6,1332.03
sgx,SMJ,4,8.0,0.2,2.02,1125.85
sgx,SMJ,4,16.0,0.2,4.86,1133.81
sgx,SMJ,4,24.0,0.2,10.76,1141.75
sgx,SMJ,4,32.0,0.2,14.63,1149.77
sgx,SMJ,4,40.0,0.2,16.29,1157.81
sgx,SMJ,4,48.0,0.2,17.22,1165.8
sgx,SMJ,4,56.0,0.2,17.53,1173.83
sgx,SMJ,4,64.0,0.2,17.57,1181.82
sgx,SMJ,4,72.0,0.2,18.3,1189.86
sgx,SMJ,4,80.0,0.2,18.09,1197.79
sgx,SMJ,4,88.0,0.2,18.33,1205.95
sgx,SMJ,4,96.0,0.2,16.98,1233.01
sgx,SMJ,4,104.0,0.2,16.88,1252.27
sgx,SMJ,4,112.0,0.2,16.2,1273.8
sgx,SMJ,4,120.0,0.2,15.3,1302.62
sgx,SMJ,4,128.0,0.2,14.92,1331.83
sgx,CHT,4,8.0,6.4,28.61,1131.78
sgx,CHT,4,16.0,6.4,26.51,1148.09
sgx,CHT,4,24.0,6.4,24.08,1164.71
sgx,CHT,4,32.0,6.4,23.87,1180.75
sgx,CHT,4,40.0,6.4,23.67,1197.84
sgx,CHT,4,48.0,6.4,21.29,1232.38
sgx,CHT,4,56.0,6.4,17.22,1290.09
sgx,CHT,4,64.0,6.4,16.42,1325.96
sgx,CHT,4,72.0,6.4,14.77,1373.49
sgx,CHT,4,80.0,6.4,14.0,1412.45
sgx,CHT,4,88.0,6.4,13.74,1451.83
sgx,CHT,4,96.0,6.4,13.57,1491.49
