mode,alg,threads,sizeR,sizeS,throughput
native,CHT,2,0.2,8.0,264.62
native,CHT,2,0.2,16.0,284.08
native,CHT,2,0.2,24.0,271.72
native,CHT,2,0.2,32.0,306.06
native,CHT,2,0.2,40.0,308.75
native,CHT,2,0.2,48.0,312.45
native,CHT,2,0.2,56.0,282.44
native,CHT,2,0.2,64.0,281.23
native,CHT,2,0.2,72.0,303.2
native,CHT,2,0.2,80.0,304.59
native,CHT,2,0.2,88.0,315.15
native,CHT,2,0.2,96.0,318.78
native,CHT,2,0.2,104.0,298.03
native,CHT,2,0.2,112.0,232.13
native,CHT,2,0.2,120.0,218.48
native,CHT,2,0.2,128.0,225.06
native,PHT,1,0.2,8.0,126.62
native,PHT,1,0.2,16.0,126.17
native,PHT,1,0.2,24.0,120.96
native,PHT,1,0.2,32.0,122.33
native,PHT,1,0.2,40.0,135.55
native,PHT,1,0.2,48.0,126.86
native,PHT,1,0.2,56.0,137.14
native,PHT,1,0.2,64.0,123.05
native,PHT,1,0.2,72.0,132.28
native,PHT,1,0.2,80.0,129.48
native,PHT,1,0.2,88.0,126.5
native,PHT,1,0.2,96.0,133.54
native,PHT,1,0.2,104.0,125.15
native,PHT,1,0.2,112.0,125.03
native,PHT,1,0.2,120.0,128.81
native,PHT,1,0.2,128.0,127.37
native,RHO,3,0.2,8.0,114.31
native,RHO,3,0.2,16.0,137.92
native,RHO,3,0.2,24.0,117.06
native,RHO,3,0.2,32.0,130.28
native,RHO,3,0.2,40.0,155.35
native,RHO,3,0.2,48.0,172.43
native,RHO,3,0.2,56.0,179.06
native,RHO,3,0.2,64.0,186.58
native,RHO,3,0.2,72.0,181.41
native,RHO,3,0.2,80.0,186.38
native,RHO,3,0.2,88.0,186.17
native,RHO,3,0.2,96.0,167.92
native,RHO,3,0.2,104.0,161.52
native,RHO,3,0.2,112.0,160.6
native,RHO,3,0.2,120.0,170.64
native,RHO,3,0.2,128.0,168.1
native,RSM,6,0.2,8.0,80.8
native,RSM,6,0.2,16.0,89.57
native,RSM,6,0.2,24.0,86.42
native,RSM,6,0.2,32.0,90.91
native,RSM,6,0.2,40.0,87.39
native,RSM,6,0.2,48.0,94.32
native,RSM,6,0.2,56.0,88.07
native,RSM,6,0.2,64.0,92.31
native,RSM,6,0.2,72.0,86.72
native,RSM,6,0.2,80.0,88.72
native,RSM,6,0.2,88.0,82.96
native,RSM,6,0.2,96.0,81.61
native,RSM,6,0.2,104.0,77.86
native,RSM,6,0.2,112.0,84.73
native,RSM,6,0.2,120.0,85.39
native,RSM,6,0.2,128.0,88.96
native,CHT,2,6.4,8.0,94.83
native,CHT,2,6.4,16.0,101.37
native,CHT,2,6.4,24.0,113.97
native,CHT,2,6.4,32.0,119.98
native,CHT,2,6.4,40.0,131.49
native,CHT,2,6.4,48.0,123.94
native,CHT,2,6.4,56.0,132.9
native,CHT,2,6.4,64.0,119.0
native,CHT,2,6.4,72.0,121.13
native,CHT,2,6.4,80.0,115.92
native,CHT,2,6.4,88.0,116.36
native,CHT,2,6.4,96.0,125.67
native,CHT,2,6.4,104.0,137.73
native,CHT,2,6.4,112.0,136.69
native,CHT,2,6.4,120.0,140.61
native,CHT,2,6.4,128.0,141.95
native,PHT,1,6.4,8.0,24.64
native,PHT,1,6.4,16.0,31.19
native,PHT,1,6.4,24.0,36.7
native,PHT,1,6.4,32.0,40.11
native,PHT,1,6.4,40.0,39.2
native,PHT,1,6.4,48.0,40.56
native,PHT,1,6.4,56.0,44.12
native,PHT,1,6.4,64.0,35.49
native,PHT,1,6.4,72.0,35.32
native,PHT,1,6.4,80.0,43.72
native,PHT,1,6.4,88.0,46.59
native,PHT,1,6.4,96.0,43.86
native,PHT,1,6.4,104.0,35.55
native,PHT,1,6.4,112.0,45.24
native,PHT,1,6.4,120.0,44.84
native,PHT,1,6.4,128.0,37.0
native,RHO,3,6.4,8.0,115.52
native,RHO,3,6.4,16.0,128.11
native,RHO,3,6.4,24.0,153.96
native,RHO,3,6.4,32.0,149.4
native,RHO,3,6.4,40.0,122.63
native,RHO,3,6.4,48.0,129.14
native,RHO,3,6.4,56.0,114.04
native,RHO,3,6.4,64.0,109.32
native,RHO,3,6.4,72.0,92.61
native,RHO,3,6.4,80.0,175.77
native,RHO,3,6.4,88.0,201.59
native,RHO,3,6.4,96.0,202.53
native,RHO,3,6.4,104.0,201.42
native,RHO,3,6.4,112.0,184.48
native,RHO,3,6.4,120.0,193.59
native,RHO,3,6.4,128.0,189.07
native,RSM,6,6.4,8.0,66.21
native,RSM,6,6.4,16.0,63.15
native,RSM,6,6.4,24.0,61.73
native,RSM,6,6.4,32.0,52.55
native,RSM,6,6.4,40.0,50.62
native,RSM,6,6.4,48.0,56.05
native,RSM,6,6.4,56.0,56.64
native,RSM,6,6.4,64.0,56.94
native,RSM,6,6.4,72.0,55.44
native,RSM,6,6.4,80.0,49.85
