mode,alg,threads,sizeR,sizeS,throughput
sgx,CHT,3,0.2,8.0,142.28
sgx,CHT,3,0.2,24.0,157.72
sgx,CHT,3,0.2,40.0,151.71
sgx,CHT,3,0.2,56.0,163.34
sgx,CHT,3,0.2,72.0,156.04
sgx,CHT,3,0.2,88.0,164.96
sgx,CHT,3,0.2,104.0,164.56
sgx,CHT,3,0.2,120.0,154.6
sgx,CHT,3,0.2,136.0,164.9
sgx,CHT,3,0.2,152.0,162.25
sgx,CHT,3,0.2,168.0,165.87
sgx,CHT,3,0.2,184.0,163.42
sgx,CHT,3,0.2,200.0,161.71
sgx,CHT,3,0.2,216.0,163.32
sgx,CHT,3,0.2,232.0,166.33
sgx,CHT,3,0.2,248.0,163.52
sgx,CHT,3,6.4,8.0,36.43
sgx,CHT,3,6.4,24.0,53.46
sgx,CHT,3,6.4,40.0,60.41
sgx,CHT,3,6.4,56.0,67.5
sgx,CHT,3,6.4,72.0,73.55
sgx,CHT,3,6.4,88.0,78.39
sgx,CHT,3,6.4,104.0,78.82
sgx,CHT,3,6.4,120.0,78.66
sgx,CHT,3,6.4,136.0,82.2
sgx,CHT,3,6.4,152.0,83.1
sgx,CHT,3,6.4,168.0,85.21
sgx,CHT,3,6.4,184.0,84.66
sgx,CHT,3,6.4,200.0,89.7
sgx,CHT,3,6.4,216.0,83.3
sgx,CHT,3,6.4,232.0,85.89
sgx,CHT,3,6.4,248.0,82.56
sgx,CHT,3,16.0,8.0,24.4
sgx,CHT,3,16.0,24.0,22.82
sgx,CHT,3,16.0,40.0,23.53
sgx,CHT,3,16.0,56.0,23.61
sgx,CHT,3,16.0,72.0,23.94
sgx,CHT,3,16.0,88.0,23.97
sgx,CHT,3,16.0,104.0,22.98
sgx,CHT,3,16.0,120.0,24.53
sgx,CHT,3,16.0,136.0,24.05
sgx,CHT,3,16.0,152.0,24.07
sgx,CHT,3,16.0,168.0,23.86
sgx,CHT,3,16.0,184.0,24.17
sgx,CHT,3,16.0,200.0,24.12
sgx,CHT,3,16.0,216.0,24.22
sgx,CHT,3,16.0,232.0,24.24
sgx,CHT,3,16.0,248.0,24.03
sgx,CHT,3,100.0,8.0,12.9
sgx,CHT,3,100.0,24.0,12.85
sgx,CHT,3,100.0,40.0,12.65
sgx,CHT,3,100.0,56.0,12.64
sgx,CHT,3,100.0,72.0,12.63
sgx,CHT,3,100.0,88.0,9.33
sgx,CHT,3,100.0,104.0,1.17
sgx,CHT,3,100.0,120.0,1.27
sgx,CHT,3,100.0,136.0,1.19
sgx,CHT,3,100.0,152.0,1.27
sgx,CHT,3,100.0,168.0,1.05
sgx,CHT,3,100.0,184.0,0.87
sgx,CHT,3,100.0,200.0,0.75
sgx,CHT,3,100.0,216.0,0.8
sgx,CHT,3,100.0,232.0,0.85
sgx,CHT,3,100.0,248.0,0.88
