mode,alg,ds,chunkSize,sealMicros
sgx-seal,RHO,cache-fit,2,876760.0
sgx-seal,RHO,cache-fit,4,441577.0
sgx-seal,RHO,cache-fit,8,276822.0
sgx-seal,RHO,cache-fit,16,200737.0
sgx-seal,RHO,cache-fit,32,167189.0
sgx-seal,RHO,cache-fit,64,147319.0
sgx-seal,RHO,cache-fit,128,136815.0
sgx-seal,RHO,cache-fit,256,134132.0
sgx-seal,RHO,cache-fit,512,132319.0
sgx-seal,RHO,cache-fit,1024,133128.0
sgx-seal,RHO,cache-fit,2048,140416.0
sgx-seal,RHO,cache-fit,4096,143635.0
sgx-seal,RHO,cache-fit,8192,176313.0
sgx-seal,RHO,cache-fit,16384,191118.0
sgx-seal,RHO,cache-fit,32768,231028.0
sgx-seal,RHO,cache-fit,40960,240842.0
sgx-seal,RHO,cache-fit,65536,270638.0
sgx-seal,RHO,cache-fit,131072,273587.0
sgx-seal,RHO,cache-fit,262144,272675.0
sgx-seal,RHO,cache-fit,524288,271210.0
sgx-seal,RHO,cache-exceed,2,9743444.0
sgx-seal,RHO,cache-exceed,4,4920129.0
sgx-seal,RHO,cache-exceed,8,3091821.0
sgx-seal,RHO,cache-exceed,16,2277582.0
sgx-seal,RHO,cache-exceed,32,1870144.0
sgx-seal,RHO,cache-exceed,64,1665130.0
sgx-seal,RHO,cache-exceed,128,1572655.0
sgx-seal,RHO,cache-exceed,256,1526833.0
sgx-seal,RHO,cache-exceed,512,1494609.0
sgx-seal,RHO,cache-exceed,1024,1535906.0
sgx-seal,RHO,cache-exceed,2048,1502577.0
sgx-seal,RHO,cache-exceed,4096,1618845.0
sgx-seal,RHO,cache-exceed,8192,1656606.0
sgx-seal,RHO,cache-exceed,16384,1720540.0
sgx-seal,RHO,cache-exceed,32768,1902050.0
sgx-seal,RHO,cache-exceed,65536,3021511.0
sgx-seal,RHO,cache-exceed,131072,3979348.0
sgx-seal,RHO,cache-exceed,262144,4023214.0
sgx-seal,RHO,cache-exceed,409600,3990599.0
sgx-seal,RHO,cache-exceed,524288,4249043.0
