mode,alg,ds,selectivity,phase,cycles
sgx,RHO,cache-fit,1,join,638899872.6666666
sgx,RHO,cache-fit,1,seal,0
sgx,RHO,cache-fit,50,join,632176939.6666666
sgx,RHO,cache-fit,50,seal,0
sgx,RHO,cache-fit,100,join,683954478.3333334
sgx,RHO,cache-fit,100,seal,0
sgx,RHO,cache-exceed,1,join,7385761596.666667
sgx,RHO,cache-exceed,1,seal,0
sgx,RHO,cache-exceed,50,join,7528640048.666667
sgx,RHO,cache-exceed,50,seal,0
sgx,RHO,cache-exceed,100,join,7143512609.0
sgx,RHO,cache-exceed,100,seal,0
sgx-seal,RHO,cache-fit,1,join,559404145.0
sgx-seal,RHO,cache-fit,1,seal,415518048.1666667
sgx-seal,RHO,cache-fit,50,join,1032724717.0
sgx-seal,RHO,cache-fit,50,seal,710002844.3333334
sgx-seal,RHO,cache-fit,100,join,1528834745.6666667
sgx-seal,RHO,cache-fit,100,seal,1069560244.6666666
sgx-seal,RHO,cache-exceed,1,join,7318155914.666667
sgx-seal,RHO,cache-exceed,1,seal,5894587344.5
sgx-seal,RHO,cache-exceed,50,join,12563710211.666666
sgx-seal,RHO,cache-exceed,50,seal,11210530092.666666
sgx-seal,RHO,cache-exceed,100,join,17267685391.666668
sgx-seal,RHO,cache-exceed,100,seal,16548429491.0
native,RHO,cache-fit,1,join,74838032.33333333
native,RHO,cache-fit,1,seal,0
native,RHO,cache-fit,50,join,77607129.33333333
native,RHO,cache-fit,50,seal,0
native,RHO,cache-fit,100,join,62162700.666666664
native,RHO,cache-fit,100,seal,0
native,RHO,cache-exceed,1,join,672376949.6666666
native,RHO,cache-exceed,1,seal,0
native,RHO,cache-exceed,50,join,773753669.0
native,RHO,cache-exceed,50,seal,0
native,RHO,cache-exceed,100,join,602037043.0
native,RHO,cache-exceed,100,seal,0
native-materialize,RHO,cache-fit,1,join,80084287.66666667
native-materialize,RHO,cache-fit,1,seal,0
native-materialize,RHO,cache-fit,50,join,149290232.0
native-materialize,RHO,cache-fit,50,seal,0
native-materialize,RHO,cache-fit,100,join,236982354.66666666
native-materialize,RHO,cache-fit,100,seal,0
native-materialize,RHO,cache-exceed,1,join,722089516.6666666
native-materialize,RHO,cache-exceed,1,seal,0
native-materialize,RHO,cache-exceed,50,join,1488924197.0
native-materialize,RHO,cache-exceed,50,seal,0
native-materialize,RHO,cache-exceed,100,join,2198050500.0
native-materialize,RHO,cache-exceed,100,seal,0
seal-chunk-buffer,RHO_seal_buffer,cache-fit,1,seal-join,1759833569
seal-chunk-buffer,RHO_seal_buffer,cache-fit,50,seal-join,1715710565
seal-chunk-buffer,RHO_seal_buffer,cache-fit,100,seal-join,1722918184
seal-chunk-buffer,RHO_seal_buffer,cache-exceed,1,seal-join,21373716126.66
seal-chunk-buffer,RHO_seal_buffer,cache-exceed,50,seal-join,19623016776.66
seal-chunk-buffer,RHO_seal_buffer,cache-exceed,100,seal-join,20152440926.33
