mode,alg,ds,threads,selectivity,throughput
sgx,CHT,cache-fit,4,1,40.93
sgx,CHT,cache-fit,4,50,38.83
sgx,CHT,cache-fit,4,100,33.02
sgx,CHT,cache-exceed,4,1,0.7
sgx,CHT,cache-exceed,4,50,0.79
sgx,CHT,cache-exceed,4,100,0.61
sgx,INL,cache-fit,4,1,63.32
sgx,INL,cache-fit,4,50,18.8
sgx,INL,cache-fit,4,100,16.55
sgx,INL,cache-exceed,4,1,45.65
sgx,INL,cache-exceed,4,50,0.2
sgx,INL,cache-exceed,4,100,0.15
sgx,MWAY,cache-fit,4,1,9.26
sgx,MWAY,cache-fit,4,50,7.95
sgx,MWAY,cache-fit,4,100,8.53
sgx,MWAY,cache-exceed,4,1,5.17
sgx,MWAY,cache-exceed,4,50,5.09
sgx,MWAY,cache-exceed,4,100,4.96
sgx,PHT,cache-fit,4,1,15.6
sgx,PHT,cache-fit,4,50,15.0
sgx,PHT,cache-fit,4,100,16.5
sgx,PHT,cache-exceed,4,1,0.01
sgx,PHT,cache-exceed,4,50,0.01
sgx,PHT,cache-exceed,4,100,0.01
sgx,PSM,cache-fit,4,1,4.76
sgx,PSM,cache-fit,4,50,5.55
sgx,PSM,cache-fit,4,100,6.44
sgx,PSM,cache-exceed,4,1,4.29
sgx,PSM,cache-exceed,4,50,4.83
sgx,PSM,cache-exceed,4,100,5.56
sgx,RHT,cache-fit,4,1,16.32
sgx,RHT,cache-fit,4,50,18.39
sgx,RHT,cache-fit,4,100,19.41
sgx,RHT,cache-exceed,4,1,13.65
sgx,RHT,cache-exceed,4,50,13.38
sgx,RHT,cache-exceed,4,100,13.27
sgx,RHO,cache-fit,4,1,12.46
sgx,RHO,cache-fit,4,50,12.75
sgx,RHO,cache-fit,4,100,11.66
sgx,RHO,cache-exceed,4,1,14.75
sgx,RHO,cache-exceed,4,50,14.59
sgx,RHO,cache-exceed,4,100,14.81
sgx,RSM,cache-fit,4,1,10.1
sgx,RSM,cache-fit,4,50,15.34
sgx,RSM,cache-fit,4,100,16.98
sgx,RSM,cache-exceed,4,1,10.91
sgx,RSM,cache-exceed,4,50,10.01
sgx,RSM,cache-exceed,4,100,10.34
