mode,alg,ds,phase,cycles
native,CHT,small,Total,21862604.875
native,CHT,small,Partition,2920273.75
native,CHT,small,Join,18942077.25
native,PHT,small,Total,23844032
native,PHT,small,Build,12167931.666666666
native,PHT,small,Probe,11720963.666666666
native,PSM,small,Total,9540796.666666666
native,PSM,small,Partition,29.333333333333332
native,PSM,small,Join,9540738
native,RHT,small,Total,70764769
native,RHT,small,Partition,52119783.666666664
native,RHT,small,Join,18731821.333333332
native,RHO,small,Total,66294927.666666664
native,RHO,small,Partition,56058487
native,RHO,small,Join,10291803.333333334
native,CHT,small10x,Total,164387205.125
native,CHT,small10x,Partition,25513638
native,CHT,small10x,Join,138873118
native,PHT,small10x,Total,243030911.66666666
native,PHT,small10x,Build,131591414.33333333
native,PHT,small10x,Probe,111439497.33333333
native,PSM,small10x,Total,103034048.66666667
native,PSM,small10x,Partition,27
native,PSM,small10x,Join,103033983.33333333
native,RHT,small10x,Total,651941160
native,RHT,small10x,Partition,517840280.6666667
native,RHT,small10x,Join,133540219
native,RHO,small10x,Total,606379960.3333334
native,RHO,small10x,Partition,535933387.6666667
native,RHO,small10x,Join,69303254.33333333
sgx,CHT,small,Total,74543263
sgx,CHT,small,Partition,33324154.75
sgx,CHT,small,Join,41201873.25
sgx,PHT,small,Total,79548588.66666667
sgx,PHT,small,Build,42935330
sgx,PHT,small,Probe,36669267
sgx,PSM,small,Total,28763497
sgx,PSM,small,Partition,5765.666666666667
sgx,PSM,small,Join,28740105.666666668
sgx,RHT,small,Total,929120282.3333334
sgx,RHT,small,Partition,538443489.6666666
sgx,RHT,small,Join,386463934
sgx,RHO,small,Total,958393341.3333334
sgx,RHO,small,Partition,528937690.6666667
sgx,RHO,small,Join,430911018.3333333
sgx,CHT,small10x,Total,1732970154.25
sgx,CHT,small10x,Partition,419485993
sgx,CHT,small10x,Join,1311412536.875
sgx,PHT,small10x,Total,5412840364
sgx,PHT,small10x,Build,2216454621
sgx,PHT,small10x,Probe,3197625234
sgx,PSM,small10x,Total,287278711.6666667
sgx,PSM,small10x,Partition,5708.333333333333
sgx,PSM,small10x,Join,287254873.6666667
sgx,RHT,small10x,Total,9222423015.333334
sgx,RHT,small10x,Partition,8149045560.666667
sgx,RHT,small10x,Join,1071295909
sgx,RHO,small10x,Total,8549788953
sgx,RHO,small10x,Partition,8166642669.666667
sgx,RHO,small10x,Join,381517293.6666667
sgx,RSM,small,Total,729937909.6666666
sgx,RSM,small,Partition,570596901.3333334
sgx,RSM,small,Join,144722014.33333334
sgx,RSM,small10x,Total,10630981141.666666
sgx,RSM,small10x,Partition,9239580087.333334
sgx,RSM,small10x,Join,1390313264.6666667
