mode,alg,ds,threads,throughput
sgx,CHT,cache-fit,4,35.72
sgx,INL,cache-fit,4,14.03
sgx,MWAY,cache-fit,4,7.47
sgx,PHT,cache-fit,4,16.11
sgx,PSM,cache-fit,4,5.52
sgx,RHT,cache-fit,4,17.72
sgx,RHO,cache-fit,4,16.1
sgx,RSM,cache-fit,4,17.9
sgx,CHT,cache-exceed,4,0.55
sgx,INL,cache-exceed,4,0.015
sgx,MWAY,cache-exceed,4,4.32
sgx,PHT,cache-exceed,4,0.13
sgx,PSM,cache-exceed,4,5.47
sgx,RHT,cache-exceed,4,13.44
sgx,RHO,cache-exceed,4,15.03
sgx,RSM,cache-exceed,4,12.28
sgx-sorted,CHT,cache-fit,4,87.16
sgx-sorted,INL,cache-fit,4,16.68
sgx-sorted,MWAY,cache-fit,4,12.67
sgx-sorted,PHT,cache-fit,4,164.33
sgx-sorted,PSM,cache-fit,4,453.26
sgx-sorted,RHT,cache-fit,4,14.05
sgx-sorted,RHO,cache-fit,4,13.76
sgx-sorted,RSM,cache-fit,4,18.74
sgx-sorted,CHT,cache-exceed,4,37.64
sgx-sorted,INL,cache-exceed,4,9.54
sgx-sorted,MWAY,cache-exceed,4,5.97
sgx-sorted,PHT,cache-exceed,4,24.12
sgx-sorted,PSM,cache-exceed,4,454.41
sgx-sorted,RHT,cache-exceed,4,14.16
sgx-sorted,RHO,cache-exceed,4,15.27
sgx-sorted,RSM,cache-exceed,4,12.28
