mode,alg,ds,threads,throughput
native,CHT,cache-fit,4,164.11
native,INL,cache-fit,4,48.41
native,MWAY,cache-fit,4,41.92
native,PHT,cache-fit,4,69.8
native,PSM,cache-fit,4,13.04
native,RHT,cache-fit,4,158.42
native,RHO,cache-fit,4,210.97
native,RSM,cache-fit,4,62.87
native,CHT,cache-exceed,4,88.25
native,INL,cache-exceed,4,31.46
native,MWAY,cache-exceed,4,40.54
native,PHT,cache-exceed,4,59.0
native,PSM,cache-exceed,4,10.99
native,RHT,cache-exceed,4,178.27
native,RHO,cache-exceed,4,219.79
native,RSM,cache-exceed,4,50.19
sgx,CHT,cache-fit,4,33.51
sgx,INL,cache-fit,4,14.01
sgx,MWAY,cache-fit,4,7.08
sgx,PHT,cache-fit,4,15.4
sgx,PSM,cache-fit,4,7.51
sgx,RHT,cache-fit,4,20.21
sgx,RHO,cache-fit,4,15.0
sgx,RSM,cache-fit,4,17.66
sgx,CHT,cache-exceed,4,0.65
sgx,INL,cache-exceed,4,0.19
sgx,MWAY,cache-exceed,4,4.37
sgx,PHT,cache-exceed,4,0.01
sgx,PSM,cache-exceed,4,5.56
sgx,RHT,cache-exceed,4,13.45
sgx,RHO,cache-exceed,4,15.05
sgx,RSM,cache-exceed,4,10.27
