mode,alg,threads,total_gbs,throughput
sgx,CHT,3,0.75,0.01
sgx,CHT,3,1.5,0.01
sgx,CHT,3,2.25,0.01
sgx,CHT,3,3,0.01
sgx,CHT,3,3.75,0.01
sgx,CHT,3,4.5,0.01
sgx,CHT,3,5.25,0.01
sgx,CHT,3,6,0.01
sgx,CHT,3,6.75,0.01
sgx,CHT,3,7.45,0.01
sgx,CHT,3,8.25,0.01
sgx,CHT,3,9.0,0.01
sgx,CHT,3,9.75,0.01
sgx,PHT,3,0.75,0.01
sgx,PHT,3,1.5,0.01
sgx,PHT,3,2.25,0.01
sgx,PHT,3,3,0.01
sgx,PHT,3,3.75,0.01
sgx,PHT,3,4.5,0.01
sgx,PHT,3,5.25,0.01
sgx,PHT,3,6,0.01
sgx,PHT,3,6.75,0.01
sgx,PHT,3,7.45,0.01
sgx,PHT,3,8.25,0.01
sgx,PHT,3,9.00,0.01
sgx,PHT,3,9.75,0.01
sgx,PSM,3,0.75,5.47
sgx,PSM,3,1.5,5.32
sgx,PSM,3,2.25,5.25
sgx,PSM,3,3,5.26
sgx,PSM,3,3.75,5.14
sgx,PSM,3,4.5,5.0
sgx,PSM,3,5.25,5.04
sgx,PSM,3,6,4.99
sgx,PSM,3,6.75,4.88
sgx,PSM,3,7.45,4.84
sgx,PSM,3,8.25,4.88
sgx,PSM,3,9.00,4.75
sgx,PSM,3,9.75,4.81
sgx,PSM,3,18,4.00
sgx,RHT,3,0.75,15.96
sgx,RHT,3,1.5,15.87
sgx,RHT,3,2.25,15.42
sgx,RHT,3,3,15.61
sgx,RHT,3,3.75,15.57
sgx,RHT,3,4.5,11.88
sgx,RHT,3,5.25,12.22
sgx,RHT,3,6,12.02
sgx,RHT,3,6.75,11.98
sgx,RHT,3,7.45,12.05
sgx,RHT,4,8.25,11.98
sgx,RHT,4,9.00,11.91
sgx,RHT,4,9.75,11.95
sgx,RHT,4,18,4.06
sgx,RHO,3,0.75,18.4
sgx,RHO,3,1.5,18.01
sgx,RHO,3,2.25,17.87
sgx,RHO,3,3,17.63
sgx,RHO,3,3.75,17.6
sgx,RHO,3,4.5,13.33
sgx,RHO,3,5.25,13.24
sgx,RHO,3,6,13.22
sgx,RHO,3,6.75,13.21
sgx,RHO,3,7.5,13.25
sgx,RHO,3,8.25,13.12
sgx,RHO,3,9.00,13.26
sgx,RHO,3,9.75,13.23
sgx,RHO,3,18,4.44
sgx,RSM,3,0.75,11.5
sgx,RSM,3,1.5,10.96
sgx,RSM,3,2.25,10.62
sgx,RSM,3,3,10.43
sgx,RSM,3,3.75,10.33
sgx,RSM,3,4.5,8.6
sgx,RSM,3,5.25,8.56
sgx,RSM,3,6,8.49
sgx,RSM,3,6.75,8.43
sgx,RSM,3,7.45,8.38
sgx,RSM,4,8.25,8.53
sgx,RSM,4,9.0,8.39
sgx,RSM,4,9.75,7.94
sgx,RSM,4,18,3.55
sgx,INL,4,1,0.01
sgx,INL,4,2,0.01
sgx,INL,4,3,0.01
sgx,INL,4,4,0.01
sgx,INL,4,5,0.01
sgx,INL,4,6,0.01
sgx,INL,4,7,0.01
sgx,INL,4,8.25,0.01
sgx,INL,4,9.0,0.01
sgx,INL,4,9.75,0.01
sgx,MWAY,4,0.75,5.58
sgx,MWAY,4,1.5,5.54
sgx,MWAY,4,2.25,5.54
sgx,MWAY,4,3,5.41
sgx,MWAY,4,3.75,4.63
sgx,MWAY,4,4.5,4.63
sgx,MWAY,4,5.25,4.37
sgx,MWAY,4,6,4.4
